iteration,accepted_updates,status,linearization_refreshed,mean_objective_gradient_norm,lambda,objective_loss,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,checkpoint,best_checkpoint
32,24,accepted,0,0.824956,0.00596046,0.00119591,0.00103279,0.00104041,0.00104041,0,0,0,0.0116843,0.0532823,0.0262944,0.0269878,,best_validation_checkpoint_0.bin
33,25,accepted,1,0.147428,0.00298023,0.00115589,0.000999154,0.00100664,0.00100664,1.01262,0.0599519,0.950648,0.0130759,0.0573783,0.0315333,0.025845,,best_validation_checkpoint_1.bin
34,26,accepted,1,0.0616936,0.00149012,0.00109953,0.000941962,0.000949149,0.000949149,1.08205,0.0570133,1.02315,0.0123276,0.0511796,0.0260629,0.0251166,checkpoint_34.bin,best_validation_checkpoint_0.bin
35,26,rejected,1,0.237712,0.0149012,0.00109953,0.000941962,0.000949149,0.000949149,0.928601,0.0556602,0.871159,0.0113256,0.0136858,0.0136855,0,,
36,27,accepted,0,0.237712,0.00745058,0.00107914,0.000935852,0.000942754,0.000942754,0,0,0,0.0111609,0.0496911,0.0253357,0.0243553,,best_validation_checkpoint_1.bin
37,28,accepted,1,0.0394704,0.00372529,0.00105495,0.000914384,0.000921173,0.000921173,0.997293,0.0570264,0.938557,0.0116413,0.0508911,0.0264523,0.0244387,,best_validation_checkpoint_0.bin
38,29,accepted,1,0.014456,0.00186265,0.00101313,0.000876679,0.000883254,0.000883254,0.978206,0.0561037,0.920253,0.0114788,0.0496757,0.0250266,0.024649,,best_validation_checkpoint_1.bin
39,30,accepted,1,0.0365156,0.000931323,0.000963549,0.000812197,0.000818483,0.000818483,1.00407,0.0547466,0.947323,0.0119355,0.0576071,0.0328904,0.0247167,,best_validation_checkpoint_0.bin
40,30,rejected,1,0.469731,0.00931323,0.000963549,0.000812197,0.000818483,0.000818483,0.97471,0.0543982,0.918526,0.0114776,0.0132671,0.0132669,0,,
41,31,accepted,0,0.469731,0.00465661,0.000929819,0.000806554,0.00081243,0.00081243,0,0,0,0.0126267,0.0513436,0.0265721,0.0247714,,best_validation_checkpoint_1.bin
42,32,accepted,1,0.074397,0.00232831,0.000903145,0.000783018,0.000788821,0.000788821,0.91492,0.0554389,0.857698,0.0156663,0.0532597,0.0264084,0.0268512,,best_validation_checkpoint_0.bin
43,33,accepted,1,0.0299231,0.00116415,0.000860407,0.000743177,0.000748757,0.000748757,0.946061,0.0539055,0.889678,0.0124247,0.0505925,0.0255316,0.0250608,,best_validation_checkpoint_1.bin
44,34,accepted,1,0.0974004,0.000582077,0.00085852,0.000677634,0.000682892,0.000682892,0.93928,0.0535164,0.88408,0.0124262,0.0517876,0.0267207,0.0250668,,best_validation_checkpoint_0.bin
45,34,rejected,1,0.978564,0.00582077,0.00085852,0.000677634,0.000682892,0.000682892,0.933696,0.0537097,0.878184,0.0118268,0.0125197,0.0125195,0,,
46,35,accepted,0,0.978564,0.00291038,0.000774306,0.000671864,0.00067674,0.00067674,0,0,0,0.0109119,0.0506458,0.0259564,0.0246894,,best_validation_checkpoint_1.bin
47,36,accepted,1,0.0993481,0.00145519,0.000747249,0.000647934,0.000652794,0.000652794,0.944668,0.0538358,0.889067,0.0119476,0.0510122,0.0264874,0.0245246,,best_validation_checkpoint_0.bin
48,37,accepted,1,0.0542004,0.000727596,0.000711668,0.000608445,0.000613115,0.000613115,0.921325,0.0539709,0.865238,0.0117219,0.0502273,0.0256437,0.0245834,,best_validation_checkpoint_1.bin
49,37,rejected,1,0.3154,0.00727596,0.000711668,0.000608445,0.000613115,0.000613115,0.922972,0.0533248,0.867838,0.011639,0.0126001,0.0125999,0,,
50,38,accepted,0,0.3154,0.00363798,0.000693586,0.000602874,0.000607431,0.000607431,0,0,0,0.0130825,0.0504699,0.0260003,0.0244696,,best_validation_checkpoint_0.bin
51,39,accepted,1,0.0447862,0.00181899,0.000676367,0.000587881,0.000592425,0.000592425,0.937067,0.0557481,0.879509,0.0107207,0.0497746,0.0251057,0.0246688,,best_validation_checkpoint_1.bin
52,40,accepted,1,0.0177405,0.000909495,0.00064729,0.000561372,0.000565812,0.000565812,0.932422,0.0542312,0.876086,0.0120218,0.0511288,0.026316,0.0248127,,best_validation_checkpoint_0.bin
53,40,rejected,1,0.072495,0.00909495,0.00064729,0.000561372,0.000565812,0.000565812,0.93601,0.0540323,0.880325,0.0113526,0.0126487,0.0126486,0,,
54,41,accepted,0,0.072495,0.00454747,0.000640027,0.000556801,0.000561208,0.000561208,0,0,0,0.0110606,0.0495198,0.0249239,0.0245957,,best_validation_checkpoint_1.bin
55,42,accepted,1,0.00993905,0.00227374,0.000628357,0.000546621,0.000551012,0.000551012,0.929469,0.0541686,0.873356,0.01092,0.0510851,0.0262223,0.0248626,,best_validation_checkpoint_0.bin
56,43,accepted,1,0.00414193,0.00113687,0.00060698,0.000527815,0.000532134,0.000532134,0.940002,0.0540911,0.884115,0.0116838,0.0520514,0.0276242,0.024427,,best_validation_checkpoint_1.bin
57,44,accepted,1,0.0165852,0.000568434,0.000579041,0.000494611,0.000498738,0.000498738,0.957862,0.0535369,0.902593,0.011126,0.0491125,0.0249468,0.0241657,,best_validation_checkpoint_0.bin
58,44,rejected,1,0.329689,0.00568434,0.000579041,0.000494611,0.000498738,0.000498738,0.942191,0.0532361,0.887242,0.0108476,0.0125834,0.0125833,0,,
59,44,rejected,0,0.329689,0.0568434,0.000579041,0.000494611,0.000498738,0.000498738,0,0,0,0.0110013,0.0125263,0.0125262,0,,
60,44,rejected,0,0.329689,0.568434,0.000579041,0.000494611,0.000498738,0.000498738,0,0,0,0.0112589,0.0125982,0.0125982,0,,
61,45,accepted,0,0.329689,0.284217,0.000573586,0.000493863,0.000497951,0.000497951,0,0,0,0.0117226,0.0520472,0.0252149,0.0268322,,best_validation_checkpoint_1.bin
62,46,accepted,1,0.117092,0.142109,0.000569103,0.000494635,0.000498768,0.000497951,0.914006,0.0540972,0.858195,0.0117521,0.05031,0.0255654,0.0247445,,
63,47,accepted,1,0.0268771,0.0710543,0.000568375,0.000494503,0.000498648,0.000497951,0.89714,0.0533217,0.841994,0.0119131,0.0500264,0.025236,0.0247903,,
64,48,accepted,1,0.00324296,0.0355271,0.000567718,0.000493974,0.000498121,0.000497951,0.903803,0.0532374,0.848795,0.0116444,0.049809,0.0250867,0.0247221,,
65,49,accepted,1,0.000383532,0.0177636,0.00056646,0.000492869,0.000497016,0.000497016,0.902634,0.0537058,0.847193,0.0110028,0.0492196,0.0248303,0.0243892,,best_validation_checkpoint_0.bin
66,50,accepted,1,0.000315092,0.00888178,0.000563983,0.000490738,0.000494881,0.000494881,0.872988,0.0528539,0.818347,0.0108436,0.0551804,0.029084,0.0260964,,best_validation_checkpoint_1.bin
67,51,accepted,1,0.000317052,0.00444089,0.000559135,0.000486542,0.000490674,0.000490674,0.901429,0.0543329,0.845284,0.0108321,0.052295,0.0270777,0.0252172,,best_validation_checkpoint_0.bin
68,52,accepted,1,0.000420091,0.00222045,0.000549786,0.000478436,0.000482541,0.000482541,0.937412,0.0537735,0.881851,0.0106753,0.0499281,0.0251672,0.0247608,,best_validation_checkpoint_1.bin
69,53,accepted,1,0.00146847,0.00111022,0.000532353,0.00046322,0.00046725,0.00046725,0.90126,0.0532605,0.846131,0.0107304,0.0491313,0.0250033,0.024128,,best_validation_checkpoint_0.bin
