model,proposals,accepted,acceptance_fraction,instrumented_hours,final_validation_training_ratio,normal_seconds,solve_seconds,candidate_seconds
MSE,26013,20000,0.7688463460577404,3.1004493253333334,1.2344325727659369,10116.394558,309.0244334,736.1985798
Residual $\lambda=0.01$,26053,20000,0.7676659117951867,6.4533950156666675,1.3049228409821185,21857.251939,346.7322193,1028.2378981
Residual $\lambda=0.1$,26014,20000,0.7688167909587146,5.921093918027778,1.2724738518023275,20002.593181,314.674914,998.6700099
Residual $\lambda=1$,26014,20000,0.7688167909587146,5.659410777166666,1.2155095596166774,19050.762871,322.0780453,1001.0378815
