iteration,accepted_updates,status,linearization_refreshed,mean_mse_gradient_norm,lambda,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,checkpoint,best_checkpoint
7965,6127,accepted,1,7.72135e-07,3.88344e-10,3.90217e-10,4.7733e-10,4.7733e-10,0.481954,0.029128,0.451037,0.0106424,0.0331484,0.0111007,0.0220477,,best_validation_checkpoint_0.bin
7966,6128,accepted,1,3.27562e-06,1.94172e-10,3.90128e-10,4.7731e-10,4.7731e-10,0.499741,0.0287014,0.469288,0.0107203,0.0328943,0.0111444,0.0217499,,best_validation_checkpoint_1.bin
7967,6128,rejected,1,1.36146e-05,1.94172e-09,3.90128e-10,4.7731e-10,4.7731e-10,0.472815,0.0285642,0.442531,0.0100641,0.01092,0.0109198,0,,
7968,6129,accepted,0,1.36146e-05,9.7086e-10,3.89901e-10,4.76943e-10,4.76943e-10,0,0,0,0.0114095,0.0360044,0.0110028,0.0250014,,best_validation_checkpoint_0.bin
7969,6130,accepted,1,4.56604e-07,4.8543e-10,3.89803e-10,4.76847e-10,4.76847e-10,0.522618,0.0325325,0.488358,0.010613,0.0327454,0.0109848,0.0217605,,best_validation_checkpoint_1.bin
7970,6131,accepted,1,1.98054e-06,2.42715e-10,3.89667e-10,4.7675e-10,4.7675e-10,0.505816,0.0316105,0.472251,0.0099253,0.0328416,0.0110481,0.0217933,,best_validation_checkpoint_0.bin
7971,6131,rejected,1,8.49808e-06,2.42715e-09,3.89667e-10,4.7675e-10,4.7675e-10,0.494518,0.0305053,0.462238,0.011302,0.0114024,0.0114021,0,,
7972,6132,accepted,0,8.49808e-06,1.21357e-09,3.89555e-10,4.76549e-10,4.76549e-10,0,0,0,0.0120365,0.0329243,0.0110077,0.0219164,,best_validation_checkpoint_1.bin
7973,6133,accepted,1,2.91916e-07,6.06787e-10,3.89475e-10,4.76468e-10,4.76468e-10,0.491125,0.0292562,0.459983,0.0118937,0.0332766,0.0110651,0.0222113,,best_validation_checkpoint_0.bin
7974,6134,accepted,1,1.25607e-06,3.03394e-10,3.89341e-10,4.76353e-10,4.76353e-10,0.504118,0.0287477,0.473554,0.0106018,0.0328517,0.0110656,0.021786,,best_validation_checkpoint_1.bin
7975,6134,rejected,1,5.371e-06,3.03394e-09,3.89341e-10,4.76353e-10,4.76353e-10,0.483617,0.0289362,0.452864,0.0110114,0.010905,0.0109047,0,,
7976,6135,accepted,0,5.371e-06,1.51697e-09,3.89279e-10,4.76235e-10,4.76235e-10,0,0,0,0.0112814,0.0328129,0.0109874,0.0218255,,best_validation_checkpoint_0.bin
7977,6136,accepted,1,1.88801e-07,7.58484e-10,3.89215e-10,4.76168e-10,4.76168e-10,0.489453,0.0309837,0.456642,0.0112505,0.0328422,0.0109877,0.0218545,,best_validation_checkpoint_1.bin
7978,6137,accepted,1,8.02458e-07,3.79242e-10,3.89097e-10,4.76059e-10,4.76059e-10,0.511452,0.0304327,0.47924,0.0108287,0.0326654,0.0109965,0.0216688,,best_validation_checkpoint_0.bin
7979,6138,accepted,1,3.40886e-06,1.89621e-10,3.89019e-10,4.76058e-10,4.76058e-10,0.506841,0.02892,0.476172,0.0110285,0.033487,0.0113489,0.0221381,,best_validation_checkpoint_1.bin
7980,6138,rejected,1,1.42178e-05,1.89621e-09,3.89019e-10,4.76058e-10,4.76058e-10,0.527807,0.0307615,0.495297,0.0098994,0.0111143,0.0111141,0,,
7981,6139,accepted,0,1.42178e-05,9.48105e-10,3.88776e-10,4.75664e-10,4.75664e-10,0,0,0,0.0104935,0.0329128,0.0110795,0.0218333,,best_validation_checkpoint_0.bin
7982,6140,accepted,1,4.74855e-07,4.74053e-10,3.88678e-10,4.75568e-10,4.75568e-10,0.519775,0.0296311,0.488498,0.0099505,0.0327503,0.010959,0.0217912,,best_validation_checkpoint_1.bin
7983,6141,accepted,1,2.06302e-06,2.37026e-10,3.88545e-10,4.75479e-10,4.75479e-10,0.486904,0.0286612,0.456367,0.0112714,0.0329532,0.0110242,0.0219289,,best_validation_checkpoint_0.bin
7984,6141,rejected,1,8.87533e-06,2.37026e-09,3.88545e-10,4.75479e-10,4.75479e-10,0.495403,0.0300948,0.46357,0.0106575,0.0112001,0.0111998,0,,
7985,6142,accepted,0,8.87533e-06,1.18513e-09,3.88427e-10,4.75264e-10,4.75264e-10,0,0,0,0.0110641,0.0309036,0.0108847,0.0200188,,best_validation_checkpoint_1.bin
7986,6143,accepted,1,3.03922e-07,5.92566e-10,3.88347e-10,4.75184e-10,4.75184e-10,0.512414,0.0296374,0.480986,0.0113752,0.0327355,0.0109474,0.021788,,best_validation_checkpoint_0.bin
7987,6144,accepted,1,1.31013e-06,2.96283e-10,3.88213e-10,4.75072e-10,4.75072e-10,0.501492,0.0291963,0.47051,0.0120253,0.032754,0.0111194,0.0216344,,best_validation_checkpoint_1.bin
7988,6144,rejected,1,5.61169e-06,2.96283e-09,3.88213e-10,4.75072e-10,4.75072e-10,0.526598,0.0287778,0.496069,0.0109735,0.0109754,0.010975,0,,
7989,6145,accepted,0,5.61169e-06,1.48141e-09,3.88148e-10,4.74946e-10,4.74946e-10,0,0,0,0.012684,0.0334629,0.0114584,0.0220045,,best_validation_checkpoint_0.bin
7990,6146,accepted,1,1.9659e-07,7.40707e-10,3.88084e-10,4.74879e-10,4.74879e-10,0.494407,0.0309818,0.461514,0.0100372,0.0326879,0.0110479,0.0216399,,best_validation_checkpoint_1.bin
7991,6147,accepted,1,8.37067e-07,3.70354e-10,3.87965e-10,4.74771e-10,4.74771e-10,0.501819,0.0292816,0.470671,0.0100038,0.0325837,0.0109043,0.0216793,,best_validation_checkpoint_0.bin
7992,6148,accepted,1,3.56065e-06,1.85177e-10,3.87899e-10,4.74792e-10,4.74771e-10,0.524522,0.0293437,0.493338,0.0131854,0.0344767,0.0123488,0.0221277,,
7993,6148,rejected,1,1.48958e-05,1.85177e-09,3.87899e-10,4.74792e-10,4.74771e-10,0.52419,0.0339091,0.488372,0.0112377,0.0117886,0.0117883,0,,
7994,6149,accepted,0,1.48958e-05,9.25884e-10,3.8764e-10,4.74368e-10,4.74368e-10,0,0,0,0.0121206,0.0330967,0.0110061,0.0220906,,best_validation_checkpoint_1.bin
7995,6150,accepted,1,4.9601e-07,4.62942e-10,3.87541e-10,4.74273e-10,4.74273e-10,0.509409,0.0309533,0.476647,0.0106517,0.033747,0.0113663,0.0223807,,best_validation_checkpoint_0.bin
7996,6151,accepted,1,2.15768e-06,2.31471e-10,3.87413e-10,4.74194e-10,4.74194e-10,0.521704,0.0294183,0.490566,0.0109062,0.032855,0.0111031,0.0217519,,best_validation_checkpoint_1.bin
7997,6151,rejected,1,9.29728e-06,2.31471e-09,3.87413e-10,4.74194e-10,4.74194e-10,0.482716,0.0308503,0.450113,0.0107742,0.0110958,0.0110955,0,,
7998,6152,accepted,0,9.29728e-06,1.15736e-09,3.87287e-10,4.73964e-10,4.73964e-10,0,0,0,0.0121809,0.0329492,0.010994,0.0219551,,best_validation_checkpoint_0.bin
7999,6153,accepted,1,3.17699e-07,5.78678e-10,3.87206e-10,4.73883e-10,4.73883e-10,0.487124,0.0313385,0.454031,0.0107141,0.0329262,0.0111033,0.0218229,,best_validation_checkpoint_1.bin
8000,6154,accepted,1,1.3707e-06,2.89339e-10,3.87073e-10,4.73776e-10,4.73776e-10,0.482138,0.0312569,0.44896,0.0122151,0.0328432,0.0110038,0.0218393,,best_validation_checkpoint_0.bin
8001,6154,rejected,1,5.87971e-06,2.89339e-09,3.87073e-10,4.73776e-10,4.73776e-10,0.510656,0.0311533,0.477766,0.0108554,0.0110184,0.0110182,0,,
8002,6155,accepted,0,5.87971e-06,1.44669e-09,3.87006e-10,4.73641e-10,4.73641e-10,0,0,0,0.0103601,0.0328997,0.0110521,0.0218475,,best_validation_checkpoint_1.bin
8003,6156,accepted,1,2.05648e-07,7.23347e-10,3.8694e-10,4.73574e-10,4.73574e-10,0.475005,0.0326588,0.440525,0.0107223,0.0326523,0.0110529,0.0215993,,best_validation_checkpoint_0.bin
8004,6157,accepted,1,8.76208e-07,3.61674e-10,3.86822e-10,4.73468e-10,4.73468e-10,0.477959,0.0300541,0.445882,0.0118037,0.0319048,0.0114112,0.0204934,,best_validation_checkpoint_1.bin
8005,6158,accepted,1,3.73252e-06,1.80837e-10,3.8677e-10,4.73513e-10,4.73468e-10,0.494961,0.0303794,0.462815,0.0114002,0.0328579,0.0111069,0.0217509,,
8006,6158,rejected,1,1.56482e-05,1.80837e-09,3.8677e-10,4.73513e-10,4.73468e-10,0.465262,0.0292378,0.434173,0.0112457,0.0110185,0.0110182,0,,
8007,6159,accepted,0,1.56482e-05,9.04184e-10,3.86492e-10,4.73057e-10,4.73057e-10,0,0,0,0.0104129,0.0328968,0.0110036,0.0218931,,best_validation_checkpoint_0.bin
8008,6160,accepted,1,5.2006e-07,4.52092e-10,3.86393e-10,4.72962e-10,4.72962e-10,0.489434,0.0329302,0.45478,0.0102675,0.0326253,0.0110519,0.0215733,,best_validation_checkpoint_1.bin
8009,6161,accepted,1,2.26399e-06,2.26046e-10,3.86269e-10,4.72893e-10,4.72893e-10,0.485795,0.0296335,0.454404,0.0108009,0.0331019,0.0112566,0.0218453,,best_validation_checkpoint_0.bin
8010,6161,rejected,1,9.76287e-06,2.26046e-09,3.86269e-10,4.72893e-10,4.72893e-10,0.506201,0.0300966,0.474276,0.0105021,0.0111251,0.0111248,0,,
8011,6162,accepted,0,9.76287e-06,1.13023e-09,3.86136e-10,4.72647e-10,4.72647e-10,0,0,0,0.0115491,0.0326098,0.010955,0.0216547,,best_validation_checkpoint_1.bin
8012,6163,accepted,1,3.3365e-07,5.65115e-10,3.86054e-10,4.72566e-10,4.72566e-10,0.486959,0.029329,0.455809,0.0116312,0.0332117,0.0111108,0.0221008,,best_validation_checkpoint_0.bin
8013,6164,accepted,1,1.43971e-06,2.82557e-10,3.85922e-10,4.72464e-10,4.72464e-10,0.488196,0.0298591,0.456556,0.0113379,0.0330013,0.0110947,0.0219066,,best_validation_checkpoint_1.bin
8014,6164,rejected,1,6.18185e-06,2.82557e-09,3.85922e-10,4.72464e-10,4.72464e-10,0.507895,0.0295102,0.476656,0.0104369,0.0110172,0.0110169,0,,
8015,6165,accepted,0,6.18185e-06,1.41279e-09,3.85851e-10,4.72321e-10,4.72321e-10,0,0,0,0.0100886,0.0330338,0.0110745,0.0219593,,best_validation_checkpoint_0.bin
8016,6166,accepted,1,2.15859e-07,7.06394e-10,3.85785e-10,4.72254e-10,4.72254e-10,0.482771,0.0287129,0.452282,0.0106212,0.0327442,0.0109631,0.021781,,best_validation_checkpoint_1.bin
8017,6167,accepted,1,9.206e-07,3.53197e-10,3.85666e-10,4.72149e-10,4.72149e-10,0.481423,0.0292396,0.450241,0.0112813,0.032691,0.0110021,0.0216889,,best_validation_checkpoint_0.bin
8018,6168,accepted,1,3.92387e-06,1.76598e-10,3.8563e-10,4.72219e-10,4.72149e-10,0.501995,0.0289691,0.471285,0.0109242,0.0327378,0.011089,0.0216488,,
8019,6168,rejected,1,1.64836e-05,1.76598e-09,3.8563e-10,4.72219e-10,4.72149e-10,0.515668,0.028716,0.485144,0.0105912,0.0109798,0.0109795,0,,
8020,6169,accepted,0,1.64836e-05,8.82992e-10,3.85333e-10,4.7173e-10,4.7173e-10,0,0,0,0.0116502,0.0324095,0.0110625,0.0213469,,best_validation_checkpoint_1.bin
8021,6170,accepted,1,5.47016e-07,4.41496e-10,3.85232e-10,4.71636e-10,4.71636e-10,0.502622,0.0291234,0.471761,0.0110443,0.03297,0.0110572,0.0219127,,best_validation_checkpoint_0.bin
8022,6171,accepted,1,2.38218e-06,2.20748e-10,3.85114e-10,4.71578e-10,4.71578e-10,0.499026,0.0299144,0.46732,0.0119054,0.0327346,0.011053,0.0216814,,best_validation_checkpoint_1.bin
8023,6171,rejected,1,1.02833e-05,2.20748e-09,3.85114e-10,4.71578e-10,4.71578e-10,0.490555,0.0285493,0.460029,0.0120223,0.0110761,0.0110759,0,,
8024,6172,accepted,0,1.02833e-05,1.10374e-09,3.84973e-10,4.71315e-10,4.71315e-10,0,0,0,0.0103582,0.0327359,0.0109612,0.0217747,,best_validation_checkpoint_0.bin
8025,6173,accepted,1,3.51265e-07,5.5187e-10,3.8489e-10,4.71235e-10,4.71235e-10,0.479648,0.0336953,0.444059,0.0111014,0.0328354,0.0111364,0.0216989,,best_validation_checkpoint_1.bin
8026,6174,accepted,1,1.51584e-06,2.75935e-10,3.84759e-10,4.71137e-10,4.71137e-10,0.486843,0.0292088,0.455784,0.0107515,0.0329894,0.0111324,0.0218569,,best_validation_checkpoint_0.bin
8027,6174,rejected,1,6.51168e-06,2.75935e-09,3.84759e-10,4.71137e-10,4.71137e-10,0.483859,0.0302271,0.451858,0.0096998,0.0109569,0.0109567,0,,
8028,6175,accepted,0,6.51168e-06,1.37967e-09,3.84685e-10,4.70985e-10,4.70985e-10,0,0,0,0.0115074,0.0328603,0.0111113,0.0217488,,best_validation_checkpoint_1.bin
8029,6176,accepted,1,2.27373e-07,6.89837e-10,3.84619e-10,4.70918e-10,4.70918e-10,0.513543,0.0338073,0.477927,0.0102855,0.0328078,0.0109762,0.0218314,,best_validation_checkpoint_0.bin
8030,6177,accepted,1,9.69666e-07,3.44919e-10,3.845e-10,4.70815e-10,4.70815e-10,0.497607,0.028843,0.466983,0.0108796,0.0329199,0.0110928,0.021827,,best_validation_checkpoint_1.bin
8031,6178,accepted,1,4.12985e-06,1.72459e-10,3.8448e-10,4.70912e-10,4.70815e-10,0.498703,0.0295023,0.467357,0.0116906,0.0328558,0.0110035,0.0218522,,
8032,6178,rejected,1,1.73784e-05,1.72459e-09,3.8448e-10,4.70912e-10,4.70815e-10,0.498735,0.0283407,0.468627,0.0115524,0.011217,0.0112167,0,,
8033,6179,accepted,0,1.73784e-05,8.62297e-10,3.84162e-10,4.70388e-10,4.70388e-10,0,0,0,0.0107881,0.0328841,0.0110662,0.0218178,,best_validation_checkpoint_0.bin
8034,6180,accepted,1,5.78429e-07,4.31148e-10,3.84061e-10,4.70294e-10,4.70294e-10,0.482099,0.0289114,0.451368,0.0111064,0.0327253,0.0110853,0.02164,,best_validation_checkpoint_1.bin
8035,6181,accepted,1,2.51434e-06,2.15574e-10,3.83948e-10,4.70248e-10,4.70248e-10,0.503075,0.0284939,0.472508,0.0114515,0.033036,0.0112199,0.0218159,,best_validation_checkpoint_0.bin
8036,6181,rejected,1,1.0854e-05,2.15574e-09,3.83948e-10,4.70248e-10,4.70248e-10,0.476891,0.0292924,0.445777,0.0102668,0.0109603,0.01096,0,,
8037,6182,accepted,0,1.0854e-05,1.07787e-09,3.83798e-10,4.69968e-10,4.69968e-10,0,0,0,0.0107237,0.0329897,0.0108806,0.0221089,,best_validation_checkpoint_1.bin
8038,6183,accepted,1,3.71174e-07,5.38936e-10,3.83715e-10,4.69887e-10,4.69887e-10,0.499223,0.0322415,0.465226,0.0111765,0.0328046,0.0110485,0.0217561,,best_validation_checkpoint_0.bin
8039,6184,accepted,1,1.6003e-06,2.69468e-10,3.83585e-10,4.69795e-10,4.69795e-10,0.473007,0.0301283,0.441061,0.0110562,0.0332047,0.0110689,0.0221357,,best_validation_checkpoint_1.bin
8040,6184,rejected,1,6.87078e-06,2.69468e-09,3.83585e-10,4.69795e-10,4.69795e-10,0.501409,0.0292145,0.470439,0.0097646,0.0112421,0.0112419,0,,
8041,6185,accepted,0,6.87078e-06,1.34734e-09,3.83508e-10,4.69634e-10,4.69634e-10,0,0,0,0.0118722,0.034114,0.011884,0.0222299,,best_validation_checkpoint_0.bin
8042,6186,accepted,1,2.40261e-07,6.73669e-10,3.83441e-10,4.69566e-10,4.69566e-10,0.472589,0.0316049,0.439208,0.0116543,0.0330722,0.011283,0.021789,,best_validation_checkpoint_1.bin
8043,6187,accepted,1,1.02385e-06,3.36835e-10,3.83321e-10,4.69466e-10,4.69466e-10,0.494662,0.0284348,0.464395,0.0105366,0.0331425,0.0113938,0.0217486,,best_validation_checkpoint_0.bin
8044,6188,accepted,1,4.3612e-06,1.68417e-10,3.8332e-10,4.69592e-10,4.69466e-10,0.478639,0.028344,0.448473,0.0119393,0.0330956,0.0111197,0.0219757,,
8045,6188,rejected,1,1.83401e-05,1.68417e-09,3.8332e-10,4.69592e-10,4.69466e-10,0.508648,0.0297134,0.47715,0.0114602,0.0111151,0.0111148,0,,
8046,6189,accepted,0,1.83401e-05,8.42087e-10,3.82979e-10,4.6903e-10,4.6903e-10,0,0,0,0.0117515,0.0329431,0.0110341,0.0219089,,best_validation_checkpoint_1.bin
8047,6190,accepted,1,6.12773e-07,4.21043e-10,3.82877e-10,4.68937e-10,4.68937e-10,0.464528,0.0291264,0.433592,0.0106188,0.0331207,0.0112155,0.0219052,,best_validation_checkpoint_0.bin
8048,6191,accepted,1,2.65963e-06,2.10522e-10,3.82771e-10,4.68904e-10,4.68904e-10,0.483812,0.0295674,0.452448,0.0112927,0.032719,0.0110525,0.0216664,,best_validation_checkpoint_1.bin
8049,6191,rejected,1,1.14731e-05,2.10522e-09,3.82771e-10,4.68904e-10,4.68904e-10,0.496252,0.0301656,0.464328,0.0101276,0.0115261,0.0115259,0,,
8050,6192,accepted,0,1.14731e-05,1.05261e-09,3.82611e-10,4.68605e-10,4.68605e-10,0,0,0,0.0131345,0.0332394,0.0113167,0.0219227,,best_validation_checkpoint_0.bin
8051,6193,accepted,1,3.92838e-07,5.26304e-10,3.82528e-10,4.68525e-10,4.68525e-10,0.504,0.0291394,0.472949,0.0108404,0.0331191,0.0109474,0.0221716,,best_validation_checkpoint_1.bin
8052,6194,accepted,1,1.69219e-06,2.63152e-10,3.824e-10,4.68438e-10,4.68438e-10,0.500574,0.0295692,0.469256,0.0107289,0.0328508,0.0110931,0.0217576,,best_validation_checkpoint_0.bin
8053,6194,rejected,1,7.25646e-06,2.63152e-09,3.824e-10,4.68438e-10,4.68438e-10,0.504213,0.0310505,0.471342,0.0105014,0.0109318,0.0109315,0,,
8054,6195,accepted,0,7.25646e-06,1.31576e-09,3.82319e-10,4.68267e-10,4.68267e-10,0,0,0,0.0106734,0.0333263,0.0112612,0.022065,,best_validation_checkpoint_1.bin
8055,6196,accepted,1,2.5448e-07,6.5788e-10,3.82251e-10,4.68199e-10,4.68199e-10,0.496729,0.0296557,0.465349,0.0114252,0.0327746,0.0110718,0.0217028,,best_validation_checkpoint_0.bin
8056,6197,accepted,1,1.08259e-06,3.2894e-10,3.82132e-10,4.68101e-10,4.68101e-10,0.495414,0.029179,0.464429,0.010213,0.0327618,0.0111079,0.0216537,,best_validation_checkpoint_1.bin
8057,6197,rejected,1,4.60995e-06,3.2894e-09,3.82132e-10,4.68101e-10,4.68101e-10,0.494729,0.028799,0.464158,0.0107565,0.0109684,0.0109681,0,,
8058,6198,accepted,0,4.60995e-06,1.6447e-09,3.82085e-10,4.67998e-10,4.67998e-10,0,0,0,0.0110909,0.032655,0.0110306,0.0216243,,best_validation_checkpoint_0.bin
8059,6199,accepted,1,1.64816e-07,8.2235e-10,3.8203e-10,4.67941e-10,4.67941e-10,0.488223,0.0289673,0.457532,0.01023,0.0326929,0.011079,0.0216139,,best_validation_checkpoint_1.bin
8060,6200,accepted,1,6.94029e-07,4.11175e-10,3.81928e-10,4.67849e-10,4.67849e-10,0.484814,0.0293735,0.453763,0.0108911,0.0328434,0.0109684,0.0218749,,best_validation_checkpoint_0.bin
8061,6201,accepted,1,2.93198e-06,2.05588e-10,3.81829e-10,4.6783e-10,4.6783e-10,0.50231,0.0301724,0.470185,0.0114391,0.0344883,0.0120156,0.0224726,,best_validation_checkpoint_1.bin
8062,6201,rejected,1,1.22866e-05,2.05588e-09,3.81829e-10,4.6783e-10,4.6783e-10,0.50418,0.0284615,0.474019,0.010955,0.0109254,0.0109251,0,,
8063,6202,accepted,0,1.22866e-05,1.02794e-09,3.81658e-10,4.67509e-10,4.67509e-10,0,0,0,0.0106785,0.0304984,0.0111547,0.0193435,,best_validation_checkpoint_0.bin
8064,6203,accepted,1,4.21012e-07,5.13969e-10,3.81574e-10,4.67429e-10,4.67429e-10,0.502419,0.0324217,0.468055,0.010966,0.0330686,0.0110489,0.0220196,,best_validation_checkpoint_1.bin
8065,6204,accepted,1,1.80231e-06,2.56984e-10,3.81448e-10,4.67348e-10,4.67348e-10,0.471082,0.0295781,0.439675,0.0113258,0.0329563,0.0109962,0.02196,,best_validation_checkpoint_0.bin
8066,6204,rejected,1,7.69816e-06,2.56984e-09,3.81448e-10,4.67348e-10,4.67348e-10,0.516383,0.0286636,0.486048,0.0122472,0.0110415,0.0110412,0,,
8067,6205,accepted,0,7.69816e-06,1.28492e-09,3.81362e-10,4.67166e-10,4.67166e-10,0,0,0,0.0105203,0.0333131,0.0112108,0.0221022,,best_validation_checkpoint_1.bin
8068,6206,accepted,1,2.7034e-07,6.42461e-10,3.81293e-10,4.67098e-10,4.67098e-10,0.533139,0.030682,0.500707,0.0104284,0.0329576,0.0110584,0.0218992,,best_validation_checkpoint_0.bin
8069,6207,accepted,1,1.14831e-06,3.21231e-10,3.81174e-10,4.67003e-10,4.67003e-10,0.517933,0.0301731,0.486058,0.0101803,0.0326086,0.01099,0.0216186,,best_validation_checkpoint_1.bin
8070,6207,rejected,1,4.87894e-06,3.21231e-09,3.81174e-10,4.67003e-10,4.67003e-10,0.489827,0.0289184,0.459165,0.010272,0.0109923,0.010992,0,,
8071,6208,accepted,0,4.87894e-06,1.60615e-09,3.81125e-10,4.66893e-10,4.66893e-10,0,0,0,0.0105522,0.0328321,0.0110548,0.0217772,,best_validation_checkpoint_0.bin
8072,6209,accepted,1,1.74718e-07,8.03077e-10,3.8107e-10,4.66836e-10,4.66836e-10,0.505736,0.0307403,0.473268,0.0115044,0.0331158,0.0114075,0.0217083,,best_validation_checkpoint_1.bin
8073,6210,accepted,1,7.34746e-07,4.01538e-10,3.80967e-10,4.66745e-10,4.66745e-10,0.482436,0.0287419,0.451989,0.0110064,0.0333881,0.0109632,0.0224248,,best_validation_checkpoint_0.bin
8074,6211,accepted,1,3.10287e-06,2.00769e-10,3.80875e-10,4.6674e-10,4.6674e-10,0.498194,0.0294595,0.466926,0.0120327,0.0327995,0.0110421,0.0217572,,best_validation_checkpoint_1.bin
8075,6211,rejected,1,1.29845e-05,2.00769e-09,3.80875e-10,4.6674e-10,4.6674e-10,0.499765,0.0292223,0.468771,0.0110253,0.0109282,0.010928,0,,
8076,6212,accepted,0,1.29845e-05,1.00385e-09,3.80693e-10,4.66398e-10,4.66398e-10,0,0,0,0.0114276,0.0331134,0.0110632,0.0220501,,best_validation_checkpoint_0.bin
8077,6213,accepted,1,4.46406e-07,5.01923e-10,3.80608e-10,4.66318e-10,4.66318e-10,0.499358,0.0310827,0.466463,0.0110182,0.032822,0.0111013,0.0217206,,best_validation_checkpoint_1.bin
8078,6214,accepted,1,1.9081e-06,2.50961e-10,3.80484e-10,4.66242e-10,4.66242e-10,0.483309,0.0294271,0.452082,0.0106541,0.0330798,0.01127,0.0218096,,best_validation_checkpoint_0.bin
8079,6214,rejected,1,8.14016e-06,2.50961e-09,3.80484e-10,4.66242e-10,4.66242e-10,0.499299,0.0302971,0.46719,0.0101439,0.01096,0.0109596,0,,
8080,6215,accepted,0,8.14016e-06,1.25481e-09,3.80392e-10,4.6605e-10,4.6605e-10,0,0,0,0.0105434,0.0327251,0.0109978,0.0217273,,best_validation_checkpoint_1.bin
8081,6216,accepted,1,2.86274e-07,6.27404e-10,3.80323e-10,4.65982e-10,4.65982e-10,0.491155,0.0287798,0.460649,0.0108372,0.0326175,0.0109563,0.0216611,,best_validation_checkpoint_0.bin
8082,6217,accepted,1,1.21443e-06,3.13702e-10,3.80204e-10,4.65889e-10,4.65889e-10,0.470101,0.0300476,0.438207,0.0124338,0.0333427,0.0112848,0.0220578,,best_validation_checkpoint_1.bin
8083,6217,rejected,1,5.15736e-06,3.13702e-09,3.80204e-10,4.65889e-10,4.65889e-10,0.485208,0.0309457,0.452324,0.0111876,0.0109381,0.0109378,0,,
8084,6218,accepted,0,5.15736e-06,1.56851e-09,3.80153e-10,4.65773e-10,4.65773e-10,0,0,0,0.0108655,0.0329415,0.0109413,0.0220001,,best_validation_checkpoint_0.bin
8085,6219,accepted,1,1.84919e-07,7.84254e-10,3.80097e-10,4.65716e-10,4.65716e-10,0.49896,0.0304369,0.466736,0.0108487,0.0328145,0.0110231,0.0217912,,best_validation_checkpoint_1.bin
8086,6220,accepted,1,7.7692e-07,3.92127e-10,3.79993e-10,4.65625e-10,4.65625e-10,0.496137,0.0289008,0.465363,0.0100117,0.0328791,0.0110093,0.0218697,,best_validation_checkpoint_0.bin
8087,6221,accepted,1,3.27646e-06,1.96064e-10,3.7991e-10,4.65635e-10,4.65625e-10,0.508693,0.029611,0.477306,0.0110626,0.0331425,0.0109897,0.0221528,,
8088,6221,rejected,1,1.37191e-05,1.96064e-09,3.7991e-10,4.65635e-10,4.65625e-10,0.473684,0.0282605,0.443707,0.0109991,0.0110719,0.0110716,0,,
8089,6222,accepted,0,1.37191e-05,9.80318e-10,3.79715e-10,4.65272e-10,4.65272e-10,0,0,0,0.0108358,0.0327808,0.0108995,0.0218813,,best_validation_checkpoint_1.bin
8090,6223,accepted,1,4.72712e-07,4.90159e-10,3.79629e-10,4.65191e-10,4.65191e-10,0.482541,0.0314843,0.449312,0.0111134,0.0336538,0.0114795,0.0221742,,best_validation_checkpoint_0.bin
8091,6224,accepted,1,2.01697e-06,2.4508e-10,3.79507e-10,4.65122e-10,4.65122e-10,0.50078,0.0292802,0.469701,0.0106697,0.0328517,0.0110712,0.0217805,,best_validation_checkpoint_1.bin
8092,6224,rejected,1,8.59401e-06,2.4508e-09,3.79507e-10,4.65122e-10,4.65122e-10,0.488769,0.0290197,0.45795,0.0106661,0.0110376,0.0110374,0,,
8093,6225,accepted,0,8.59401e-06,1.2254e-09,3.79411e-10,4.64919e-10,4.64919e-10,0,0,0,0.0116682,0.0329691,0.0110127,0.0219563,,best_validation_checkpoint_0.bin
8094,6226,accepted,1,3.03016e-07,6.12699e-10,3.79341e-10,4.6485e-10,4.6485e-10,0.514048,0.0296751,0.482554,0.0107622,0.0328474,0.0110017,0.0218456,,best_validation_checkpoint_1.bin
8095,6227,accepted,1,1.28363e-06,3.06349e-10,3.79222e-10,4.6476e-10,4.6476e-10,0.49151,0.029508,0.46015,0.0111329,0.0326665,0.0109728,0.0216936,,best_validation_checkpoint_0.bin
8096,6227,rejected,1,5.44454e-06,3.06349e-09,3.79222e-10,4.6476e-10,4.6476e-10,0.490582,0.0284887,0.460421,0.0107576,0.0109807,0.0109804,0,,
8097,6228,accepted,0,5.44454e-06,1.53175e-09,3.79169e-10,4.64638e-10,4.64638e-10,0,0,0,0.0109008,0.0328705,0.0111704,0.0217001,,best_validation_checkpoint_1.bin
8098,6229,accepted,1,1.95687e-07,7.65873e-10,3.79112e-10,4.64581e-10,4.64581e-10,0.495785,0.0300904,0.463889,0.0108973,0.0330645,0.0112052,0.0218593,,best_validation_checkpoint_0.bin
8099,6230,accepted,1,8.21371e-07,3.82937e-10,3.79008e-10,4.64491e-10,4.64491e-10,0.491804,0.0289673,0.461044,0.0101715,0.0328973,0.01108,0.0218173,,best_validation_checkpoint_1.bin
8100,6231,accepted,1,3.45922e-06,1.91468e-10,3.78933e-10,4.64516e-10,4.64491e-10,0.486289,0.0290281,0.455517,0.0100956,0.0326939,0.011021,0.0216729,,
8101,6231,rejected,1,1.44771e-05,1.91468e-09,3.78933e-10,4.64516e-10,4.64491e-10,0.500686,0.0291528,0.469743,0.0113553,0.0113643,0.0113641,0,,
