iteration,accepted_updates,status,linearization_refreshed,mean_mse_gradient_norm,lambda,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,checkpoint,best_checkpoint
33,26,accepted,1,0.000403029,0.000149012,0.000119,0.000121556,0.000121556,0.507624,0.0355502,0.470331,0.0118149,0.037413,0.0126909,0.0247221,,best_validation_checkpoint_0.bin
34,27,accepted,1,0.00313955,7.45058e-05,0.000112877,0.000115147,0.000115147,0.473436,0.0317403,0.439962,0.0119129,0.0370871,0.0125308,0.0245561,,best_validation_checkpoint_1.bin
35,27,rejected,1,0.00936165,0.000745058,0.000112877,0.000115147,0.000115147,0.480842,0.0324445,0.446743,0.0109479,0.012736,0.0127357,0,,
36,28,accepted,0,0.00936165,0.000372529,0.000109178,0.000111582,0.000111582,0,0,0,0.0112775,0.0358392,0.0123955,0.0234435,,best_validation_checkpoint_0.bin
37,29,accepted,1,0.000252786,0.000186265,0.00010632,0.000108641,0.000108641,0.460988,0.0313199,0.427446,0.0132414,0.0374528,0.0124461,0.0250067,,best_validation_checkpoint_1.bin
38,30,accepted,1,0.00139962,9.31323e-05,0.000101742,0.000103884,0.000103884,0.494395,0.0349787,0.457584,0.0120359,0.0356222,0.0123615,0.0232606,,best_validation_checkpoint_0.bin
39,31,accepted,1,0.00459722,4.65661e-05,9.75638e-05,9.92768e-05,9.92768e-05,0.44973,0.0323554,0.415657,0.0128128,0.0369549,0.0123158,0.0246389,checkpoint_39.bin,best_validation_checkpoint_1.bin
40,31,rejected,1,0.0129637,0.000465661,9.75638e-05,9.92768e-05,9.92768e-05,0.486371,0.0311291,0.453497,0.0116705,0.012612,0.0126118,0,,
41,32,accepted,0,0.0129637,0.000232831,9.14192e-05,9.33613e-05,9.33613e-05,0,0,0,0.0110377,0.0397717,0.0143616,0.0254099,,best_validation_checkpoint_0.bin
42,33,accepted,1,0.000375875,0.000116415,8.85682e-05,9.03837e-05,9.03837e-05,0.523165,0.0358615,0.485418,0.0124821,0.0379689,0.0140953,0.0238735,,best_validation_checkpoint_1.bin
43,34,accepted,1,0.00195783,5.82077e-05,8.44296e-05,8.59897e-05,8.59897e-05,0.501737,0.0378527,0.461787,0.0122231,0.0373488,0.0130676,0.0242812,,best_validation_checkpoint_0.bin
44,35,accepted,1,0.00621452,2.91038e-05,8.32991e-05,8.4318e-05,8.4318e-05,0.500839,0.0364041,0.462613,0.011637,0.0378565,0.0131151,0.0247413,,best_validation_checkpoint_1.bin
45,35,rejected,1,0.0167955,0.000291038,8.32991e-05,8.4318e-05,8.4318e-05,0.498958,0.0329993,0.463357,0.0111293,0.0142058,0.0142055,0,,
46,36,accepted,0,0.0167955,0.000145519,7.36732e-05,7.49796e-05,7.49796e-05,0,0,0,0.0142987,0.0371135,0.0132345,0.0238789,,best_validation_checkpoint_0.bin
47,37,accepted,1,0.000613616,7.27596e-05,7.09511e-05,7.21012e-05,7.21012e-05,0.448277,0.0328532,0.413499,0.0105164,0.0372972,0.0126486,0.0246485,,best_validation_checkpoint_1.bin
48,38,accepted,1,0.00250598,3.63798e-05,6.74466e-05,6.8324e-05,6.8324e-05,0.440657,0.0318427,0.406904,0.0111871,0.0388606,0.0131723,0.0256881,,best_validation_checkpoint_0.bin
49,38,rejected,1,0.00749456,0.000363798,6.74466e-05,6.8324e-05,6.8324e-05,0.443528,0.0319885,0.409267,0.0118183,0.0130805,0.0130802,0,,
50,39,accepted,0,0.00749456,0.000181899,6.4863e-05,6.58093e-05,6.58093e-05,0,0,0,0.0128112,0.0372899,0.0125192,0.0247706,,best_validation_checkpoint_1.bin
51,40,accepted,1,0.000267059,9.09495e-05,6.30703e-05,6.39274e-05,6.39274e-05,0.459603,0.0319987,0.425956,0.0117975,0.039384,0.0135036,0.0258804,,best_validation_checkpoint_0.bin
52,41,accepted,1,0.00111241,4.54747e-05,6.01522e-05,6.08506e-05,6.08506e-05,0.452046,0.0306244,0.419298,0.0110605,0.0378827,0.0130135,0.0248692,,best_validation_checkpoint_1.bin
53,42,accepted,1,0.00357381,2.27374e-05,5.73483e-05,5.7766e-05,5.7766e-05,0.460519,0.0317893,0.426496,0.0115026,0.0371011,0.012929,0.024172,,best_validation_checkpoint_0.bin
54,42,rejected,1,0.0100179,0.000227374,5.73483e-05,5.7766e-05,5.7766e-05,0.460212,0.0304566,0.427634,0.0109818,0.0129723,0.0129721,0,,
55,43,accepted,0,0.0100179,0.000113687,5.34023e-05,5.39201e-05,5.39201e-05,0,0,0,0.0119029,0.0374233,0.012655,0.0247683,,best_validation_checkpoint_1.bin
56,44,accepted,1,0.000324407,5.68434e-05,5.15297e-05,5.19659e-05,5.19659e-05,0.462829,0.031702,0.42937,0.0108569,0.0371758,0.0127875,0.0243881,,best_validation_checkpoint_0.bin
57,45,accepted,1,0.00139918,2.84217e-05,4.8685e-05,4.89854e-05,4.89854e-05,0.485573,0.0327692,0.450944,0.0122355,0.0366759,0.0123897,0.0242861,,best_validation_checkpoint_1.bin
58,46,accepted,1,0.00433523,1.42109e-05,4.6702e-05,4.677e-05,4.677e-05,0.456438,0.0301432,0.424409,0.0109455,0.0368665,0.0122652,0.0246013,,best_validation_checkpoint_0.bin
59,46,rejected,1,0.0116308,0.000142109,4.6702e-05,4.677e-05,4.677e-05,0.480437,0.0303477,0.448348,0.0121853,0.0124495,0.0124492,0,,
60,47,accepted,0,0.0116308,7.10543e-05,4.19622e-05,4.21652e-05,4.21652e-05,0,0,0,0.0106598,0.0353769,0.0124216,0.0229553,,best_validation_checkpoint_1.bin
61,48,accepted,1,0.000345299,3.55271e-05,4.02198e-05,4.0372e-05,4.0372e-05,0.476978,0.0317661,0.443318,0.0112514,0.0357981,0.0123716,0.0234264,,best_validation_checkpoint_0.bin
62,49,accepted,1,0.00155954,1.77636e-05,3.77683e-05,3.7833e-05,3.7833e-05,0.449322,0.0318155,0.415694,0.0108124,0.0350271,0.0123846,0.0226423,,best_validation_checkpoint_1.bin
63,50,accepted,1,0.00481807,8.88178e-06,3.67216e-05,3.66183e-05,3.66183e-05,0.461368,0.0312835,0.428251,0.0116972,0.037229,0.0127226,0.0245063,,best_validation_checkpoint_0.bin
64,50,rejected,1,0.0128778,8.88178e-05,3.67216e-05,3.66183e-05,3.66183e-05,0.517374,0.0370498,0.478113,0.0118272,0.0131221,0.0131218,0,,
65,51,accepted,0,0.0128778,4.44089e-05,3.19881e-05,3.20632e-05,3.20632e-05,0,0,0,0.0128853,0.0373231,0.0131852,0.0241378,,best_validation_checkpoint_1.bin
66,52,accepted,1,0.000263937,2.22045e-05,3.05926e-05,3.0647e-05,3.0647e-05,0.50895,0.0409417,0.466119,0.0121855,0.0373087,0.0127751,0.0245334,,best_validation_checkpoint_0.bin
67,53,accepted,1,0.00162368,1.11022e-05,2.87975e-05,2.88046e-05,2.88046e-05,0.4515,0.0301527,0.419356,0.0114633,0.0366051,0.0126443,0.0239606,,best_validation_checkpoint_1.bin
68,54,accepted,1,0.00535217,5.55112e-06,2.87612e-05,2.86713e-05,2.86713e-05,0.460843,0.0337181,0.425251,0.0108819,0.0366464,0.0123161,0.0243302,,best_validation_checkpoint_0.bin
69,54,rejected,1,0.0156214,5.55112e-05,2.87612e-05,2.86713e-05,2.86713e-05,0.443388,0.0296562,0.411454,0.0117711,0.0132417,0.0132415,0,,
70,55,accepted,0,0.0156214,2.77556e-05,2.42295e-05,2.43019e-05,2.43019e-05,0,0,0,0.0128726,0.0385459,0.0135712,0.0249746,,best_validation_checkpoint_1.bin
71,56,accepted,1,0.000333458,1.38778e-05,2.31697e-05,2.32398e-05,2.32398e-05,0.430739,0.0310356,0.397658,0.0118551,0.0368161,0.0123289,0.024487,,best_validation_checkpoint_0.bin
72,57,accepted,1,0.00168085,6.93889e-06,2.18397e-05,2.18996e-05,2.18996e-05,0.470712,0.0318764,0.437055,0.013008,0.0371568,0.0124769,0.0246798,,best_validation_checkpoint_1.bin
73,57,rejected,1,0.00633161,6.93889e-05,2.18397e-05,2.18996e-05,2.18996e-05,0.452694,0.0315951,0.419247,0.0119332,0.0139226,0.0139223,0,,
74,58,accepted,0,0.00633161,3.46945e-05,2.09878e-05,2.10766e-05,2.10766e-05,0,0,0,0.0111305,0.036091,0.0122201,0.0238708,,best_validation_checkpoint_0.bin
75,59,accepted,1,0.000127502,1.73472e-05,2.03551e-05,2.04467e-05,2.04467e-05,0.466753,0.0324872,0.432552,0.0115745,0.0364051,0.0122053,0.0241997,,best_validation_checkpoint_1.bin
76,60,accepted,1,0.000708147,8.67362e-06,1.93383e-05,1.94325e-05,1.94325e-05,0.462626,0.0315299,0.429322,0.0108562,0.037521,0.0138975,0.0236233,,best_validation_checkpoint_0.bin
77,61,accepted,1,0.00304416,4.33681e-06,1.85282e-05,1.86189e-05,1.86189e-05,0.451022,0.0307396,0.418578,0.0109964,0.0387808,0.014104,0.0246766,,best_validation_checkpoint_1.bin
78,61,rejected,1,0.0114708,4.33681e-05,1.85282e-05,1.86189e-05,1.86189e-05,0.512856,0.0323368,0.478662,0.0140382,0.0134791,0.0134789,0,,
79,62,accepted,0,0.0114708,2.1684e-05,1.71551e-05,1.72569e-05,1.72569e-05,0,0,0,0.0156423,0.0377318,0.0132825,0.0244491,,best_validation_checkpoint_0.bin
80,63,accepted,1,0.000165902,1.0842e-05,1.65362e-05,1.66467e-05,1.66467e-05,0.502172,0.0357162,0.464466,0.0127379,0.0363323,0.0123066,0.0240256,,best_validation_checkpoint_1.bin
81,64,accepted,1,0.00122282,5.42101e-06,1.56583e-05,1.57862e-05,1.57862e-05,0.518808,0.0386902,0.47831,0.0126933,0.0389051,0.0134804,0.0254246,,best_validation_checkpoint_0.bin
82,64,rejected,1,0.0055226,5.42101e-05,1.56583e-05,1.57862e-05,1.57862e-05,0.515096,0.0374181,0.47591,0.0116557,0.0132467,0.0132464,0,,
83,65,accepted,0,0.0055226,2.71051e-05,1.52302e-05,1.53448e-05,1.53448e-05,0,0,0,0.0224205,0.0399724,0.0126856,0.0272867,,best_validation_checkpoint_1.bin
84,66,accepted,1,0.000140162,1.35525e-05,1.48272e-05,1.49494e-05,1.49494e-05,0.536897,0.0401256,0.494598,0.0163963,0.0376871,0.0129671,0.0247198,,best_validation_checkpoint_0.bin
85,67,accepted,1,0.000683079,6.77626e-06,1.41603e-05,1.42984e-05,1.42984e-05,0.511243,0.0338862,0.475103,0.017892,0.0396845,0.0146048,0.0250797,,best_validation_checkpoint_1.bin
86,68,accepted,1,0.00296654,3.38813e-06,1.36844e-05,1.38428e-05,1.38428e-05,0.540353,0.0384528,0.499818,0.0111603,0.0382373,0.0130665,0.0251707,,best_validation_checkpoint_0.bin
87,68,rejected,1,0.0109158,3.38813e-05,1.36844e-05,1.38428e-05,1.38428e-05,0.514327,0.03301,0.478649,0.017037,0.0133674,0.0133671,0,,
88,69,accepted,0,0.0109158,1.69407e-05,1.26731e-05,1.28167e-05,1.28167e-05,0,0,0,0.0136567,0.0386952,0.0131321,0.025563,,best_validation_checkpoint_1.bin
89,70,accepted,1,0.000262934,8.47033e-06,1.22432e-05,1.23981e-05,1.23981e-05,0.482603,0.0344637,0.446189,0.0139398,0.0379626,0.0133381,0.0246243,,best_validation_checkpoint_0.bin
90,71,accepted,1,0.00122125,4.23516e-06,1.16494e-05,1.18223e-05,1.18223e-05,0.512668,0.0364115,0.474415,0.0135001,0.0387063,0.0131447,0.0255614,,best_validation_checkpoint_1.bin
91,71,rejected,1,0.00509062,4.23516e-05,1.16494e-05,1.18223e-05,1.18223e-05,0.521041,0.0382018,0.479239,0.0205731,0.0169076,0.0169074,0,,
92,72,accepted,0,0.00509062,2.11758e-05,1.13268e-05,1.14894e-05,1.14894e-05,0,0,0,0.0286606,0.0461016,0.0193323,0.0267692,,best_validation_checkpoint_0.bin
93,73,accepted,1,0.000125974,1.05879e-05,1.1047e-05,1.12158e-05,1.12158e-05,0.526653,0.0394135,0.485423,0.0113632,0.0370711,0.0125109,0.02456,,best_validation_checkpoint_1.bin
94,74,accepted,1,0.000621256,5.29396e-06,1.0591e-05,1.07701e-05,1.07701e-05,0.462097,0.0307063,0.429648,0.0110493,0.0367367,0.012715,0.0240216,,best_validation_checkpoint_0.bin
95,75,accepted,1,0.00263996,2.64698e-06,1.02791e-05,1.04666e-05,1.04666e-05,0.472118,0.0317341,0.438675,0.0120774,0.0370613,0.0125322,0.0245289,,best_validation_checkpoint_1.bin
96,75,rejected,1,0.0092542,2.64698e-05,1.02791e-05,1.04666e-05,1.04666e-05,0.444188,0.0294745,0.412781,0.0118927,0.0122727,0.0122724,0,,
