iteration,accepted_updates,status,linearization_refreshed,mean_objective_gradient_norm,lambda,objective_loss,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,checkpoint,best_checkpoint
30,22,accepted,1,9.20983e-05,0.0238419,2.86185e-05,2.77848e-05,2.83809e-05,2.83809e-05,0.897173,0.0566576,0.838753,0.0105671,0.0486594,0.0249493,0.0237099,,best_validation_checkpoint_0.bin
31,23,accepted,1,4.03209e-05,0.0119209,2.86025e-05,2.77678e-05,2.83659e-05,2.83659e-05,0.869286,0.0542219,0.812975,0.014079,0.0495746,0.0257802,0.0237942,,best_validation_checkpoint_1.bin
32,24,accepted,1,3.83451e-05,0.00596046,2.85833e-05,2.77474e-05,2.8347e-05,2.8347e-05,0.902638,0.0537168,0.84727,0.0114776,0.049528,0.025124,0.024404,,best_validation_checkpoint_0.bin
33,25,accepted,1,0.0002256,0.00298023,2.85559e-05,2.77179e-05,2.83198e-05,2.83198e-05,0.868595,0.0534379,0.813303,0.0106059,0.0501429,0.0253091,0.0248338,,best_validation_checkpoint_1.bin
34,26,accepted,1,2.3114e-05,0.00149012,2.85118e-05,2.76712e-05,2.8275e-05,2.8275e-05,0.916923,0.0532298,0.861926,0.0106787,0.0494353,0.0250726,0.0243625,,best_validation_checkpoint_0.bin
35,27,accepted,1,2.47118e-05,0.000745058,2.84344e-05,2.75927e-05,2.81962e-05,2.81962e-05,0.900811,0.0535564,0.845352,0.0106862,0.0526595,0.0280503,0.0246091,,best_validation_checkpoint_1.bin
36,28,accepted,1,1.55763e-05,0.000372529,2.82905e-05,2.74521e-05,2.80506e-05,2.80506e-05,0.895101,0.0538515,0.839432,0.0106839,0.0495622,0.0250426,0.0245195,,best_validation_checkpoint_0.bin
37,29,accepted,1,2.05061e-05,0.000186265,2.80195e-05,2.71907e-05,2.77778e-05,2.77778e-05,0.909279,0.0537272,0.853467,0.0104408,0.0478803,0.0251371,0.0227431,,best_validation_checkpoint_1.bin
38,30,accepted,1,5.21569e-05,9.31323e-05,2.7517e-05,2.67058e-05,2.7273e-05,2.7273e-05,0.921086,0.0544728,0.864963,0.0111857,0.0519774,0.0275835,0.0243937,,best_validation_checkpoint_0.bin
39,31,accepted,1,0.000164639,4.65661e-05,2.66195e-05,2.58316e-05,2.63668e-05,2.63668e-05,0.870803,0.0538691,0.815197,0.0159367,0.0505096,0.0254782,0.0250313,,best_validation_checkpoint_1.bin
40,32,accepted,1,0.000862488,2.32831e-05,2.52443e-05,2.437e-05,2.48575e-05,2.48575e-05,0.905099,0.0538703,0.849237,0.0099328,0.0511473,0.0265425,0.0246047,,best_validation_checkpoint_0.bin
41,32,rejected,1,0.00986786,0.000232831,2.52443e-05,2.437e-05,2.48575e-05,2.48575e-05,0.880246,0.0557523,0.82269,0.0113541,0.0127144,0.0127141,0,,
42,33,accepted,0,0.00986786,0.000116415,2.47755e-05,2.40576e-05,2.45298e-05,2.45298e-05,0,0,0,0.0111364,0.0494784,0.0250086,0.0244698,,best_validation_checkpoint_1.bin
43,34,accepted,1,0.00113806,5.82077e-05,2.4207e-05,2.35058e-05,2.39594e-05,2.39594e-05,0.882021,0.0544479,0.825616,0.0118419,0.0494588,0.0252645,0.0241942,,best_validation_checkpoint_0.bin
44,35,accepted,1,0.000719122,2.91038e-05,2.32408e-05,2.25251e-05,2.29501e-05,2.29501e-05,0.883189,0.0526285,0.828449,0.0109594,0.0490737,0.0250273,0.0240462,,best_validation_checkpoint_1.bin
45,35,rejected,1,0.004337,0.000291038,2.32408e-05,2.25251e-05,2.29501e-05,2.29501e-05,0.861005,0.0534919,0.805464,0.011982,0.0127411,0.0127407,0,,
46,36,accepted,0,0.004337,0.000145519,2.29895e-05,2.23388e-05,2.27549e-05,2.27549e-05,0,0,0,0.0105512,0.0494589,0.0249719,0.024487,,best_validation_checkpoint_0.bin
47,37,accepted,1,0.000444704,7.27596e-05,2.26049e-05,2.1964e-05,2.23689e-05,2.23689e-05,0.879277,0.0542808,0.823236,0.0121314,0.0501125,0.0252447,0.0248677,,best_validation_checkpoint_1.bin
48,38,accepted,1,0.0003289,3.63798e-05,2.19105e-05,2.1274e-05,2.16615e-05,2.16615e-05,0.878939,0.0535796,0.823627,0.0106668,0.0497723,0.0253324,0.0244397,,best_validation_checkpoint_0.bin
49,39,accepted,1,0.00178688,1.81899e-05,2.10999e-05,2.01072e-05,2.04703e-05,2.04703e-05,0.885149,0.0551346,0.828208,0.0114809,0.049841,0.0253438,0.0244971,,best_validation_checkpoint_1.bin
50,39,rejected,1,0.0230955,0.000181899,2.10999e-05,2.01072e-05,2.04703e-05,2.04703e-05,0.830122,0.0538721,0.77454,0.0111591,0.0129036,0.0129034,0,,
