iteration,accepted_updates,status,linearization_refreshed,mean_objective_gradient_norm,lambda,objective_loss,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,checkpoint,best_checkpoint
0,0,initial,0,,0.001,27.7533,27.7479,27.8995,27.8995,0,0,0,0,0,0,0,checkpoint_000000.bin,best_validation_checkpoint_0.bin
1,1,accepted,1,84.4805,0.0005,0.655144,0.651771,0.660639,0.660639,1.08529,0.260634,0.821617,0.0150633,0.0493347,0.0247894,0.0245452,,best_validation_checkpoint_1.bin
2,2,accepted,1,5.01834,0.00025,0.0970305,0.0945348,0.0938153,0.0938153,0.882545,0.0750803,0.805708,0.0113118,0.0506493,0.026468,0.0241813,checkpoint_2.bin,best_validation_checkpoint_0.bin
3,3,accepted,1,0.767582,0.000125,0.0817215,0.0808174,0.0805511,0.0805511,0.879919,0.0714465,0.806689,0.0107158,0.0490186,0.0252167,0.0238017,,best_validation_checkpoint_1.bin
4,3,rejected,1,0.923295,0.00125,0.0817215,0.0808174,0.0805511,0.0805511,0.910605,0.0679635,0.840876,0.0105808,0.0131069,0.0131067,0,,
5,3,rejected,0,0.923295,0.0125,0.0817215,0.0808174,0.0805511,0.0805511,0,0,0,0.0159705,0.0135774,0.0135772,0,,
6,4,accepted,0,0.923295,0.00625,0.0151113,0.0143958,0.0145584,0.0145584,0,0,0,0.01166,0.0503441,0.0257522,0.0245917,,best_validation_checkpoint_0.bin
7,5,accepted,1,0.261202,0.003125,0.00577412,0.00532618,0.00536779,0.00536779,0.860508,0.0672708,0.791319,0.0128086,0.0492477,0.0246636,0.0245841,checkpoint_7.bin,best_validation_checkpoint_1.bin
8,6,accepted,1,0.062093,0.0015625,0.00394314,0.00358273,0.00362414,0.00362414,0.880284,0.0685785,0.809939,0.024195,0.0538677,0.0280386,0.0258291,,best_validation_checkpoint_0.bin
9,7,accepted,1,0.0894215,0.00078125,0.00282117,0.00248719,0.00251565,0.00251565,0.884748,0.0701768,0.812033,0.0105802,0.0484503,0.0244202,0.0240301,,best_validation_checkpoint_1.bin
10,8,accepted,1,0.0933959,0.000390625,0.00208476,0.00167885,0.00169232,0.00169232,0.887326,0.0681616,0.817303,0.0133453,0.0490597,0.025132,0.0239276,,best_validation_checkpoint_0.bin
11,9,accepted,1,0.0913892,0.000195313,0.00176635,0.0013266,0.00133257,0.00133257,0.870387,0.0555725,0.813161,0.0101656,0.0501108,0.0252515,0.0248592,,best_validation_checkpoint_1.bin
12,10,accepted,1,0.120634,9.76563e-05,0.00157177,0.00113487,0.00113544,0.00113544,0.931174,0.0614057,0.868071,0.0107832,0.049194,0.0248112,0.0243828,,best_validation_checkpoint_0.bin
13,11,accepted,1,0.148683,4.88281e-05,0.000936442,0.000670951,0.000671994,0.000671994,0.87366,0.0558625,0.816022,0.0144019,0.0499443,0.0253539,0.0245904,checkpoint_13.bin,best_validation_checkpoint_1.bin
14,11,rejected,1,0.115931,0.000488281,0.000936442,0.000670951,0.000671994,0.000671994,0.941611,0.0564029,0.883339,0.011123,0.0125775,0.0125772,0,,
15,12,accepted,0,0.115931,0.000244141,0.000472991,0.000426924,0.000430223,0.000430223,0,0,0,0.0123633,0.0497568,0.0249972,0.0247594,,best_validation_checkpoint_0.bin
16,13,accepted,1,0.0420527,0.00012207,0.000450692,0.00035823,0.000361509,0.000361509,1.0111,0.0578186,0.951103,0.0213068,0.0572772,0.0305617,0.0267154,,best_validation_checkpoint_1.bin
