iteration,accepted_updates,status,validation_failures,lambda,objective_loss,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,mean_objective_gradient_norm,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,cumulative_phase_seconds,checkpoint
1,1,accepted,0,0.00050000000000000001,1.7397938942938227,1.6933973782412766,1.7021394514457766,1.7021394514457766,17.909026191526269,1.0316433,0.074769299999999997,0.95503939999999998,0.0153481,0.0471262,0.023399900000000001,0.0237261,1.0941175999999999,
2,2,accepted,0,0.00025000000000000001,0.053182770752371475,0.04949694496279642,0.050051150577824804,0.050051150577824804,12.1882601038925,1.0862904,0.083206799999999997,1.0003694000000001,0.010289,0.0467973,0.025666600000000001,0.021130599999999999,2.2374942999999998,
3,3,accepted,0,0.000125,0.0072757739603804212,0.0067493594478437247,0.0068222062986727974,0.0068222062986727974,0.83385423780309487,1.131462,0.079841700000000015,1.0483136,0.010942500000000001,0.047728,0.023696700000000001,0.024031199999999999,3.4276267999999996,milestone_0.bin
4,4,accepted,0,6.2500000000000001e-05,0.0012027981199590602,0.0011393583878789801,0.0011529368199702105,0.0011529368199702105,0.22629377018459218,1.1350593,0.080109899999999998,1.0513625,0.0142392,0.050166099999999998,0.0246182,0.025547899999999998,4.6270913999999994,
5,5,accepted,0,3.1250000000000001e-05,0.00029361142947825325,0.00027831813613502095,0.00028059374840019077,0.00028059374840019077,0.2566307944767765,1.097116,0.073839699999999994,1.0206389,0.010932300000000001,0.049989100000000002,0.027412700000000002,0.022576200000000001,5.785128799999999,milestone_1.bin
6,5,rejected,0,0.00031250000000000001,0.00029361142947825325,0.00027831813613502095,0.00028059374840019077,0.00028059374840019077,0.037051890878434759,1.1521082,0.074333200000000002,1.0746905,0.0116282,0.014664699999999999,0.014664699999999999,0,6.9635298999999993,
7,6,accepted,0,0.00015625,0.0001039988619930715,9.9075900642050586e-05,9.9502227451526781e-05,9.9502227451526781e-05,0.037051890878434759,0,0,0,0.0101522,0.049522299999999998,0.025442900000000001,0.024079400000000001,7.0232043999999991,milestone_2.bin
8,7,accepted,0,7.8125000000000002e-05,7.5206051489412016e-05,7.1995575993827712e-05,7.3247924619111973e-05,7.3247924619111973e-05,0.0069460352641412416,1.0574193000000001,0.075568099999999999,0.97817890000000007,0.010138299999999999,0.049910099999999999,0.024195000000000001,0.025714899999999999,8.1406720999999997,
9,8,accepted,0,3.9062500000000001e-05,6.6149888197127656e-05,6.3506032757871392e-05,6.4373895611209315e-05,6.4373895611209315e-05,0.0072732259727117613,1.0770888999999999,0.0844969,0.99034540000000004,0.010485100000000001,0.050490500000000001,0.025731199999999999,0.024759199999999999,9.2787366000000002,
10,9,accepted,0,1.953125e-05,5.6063351174217637e-05,5.4165737919978588e-05,5.4709449531605463e-05,5.4709449531605463e-05,0.014509187731146971,1.0700216,0.069752400000000006,0.99688340000000009,0.011458299999999999,0.051890100000000002,0.027297499999999999,0.024592599999999999,10.4121066,
11,9,rejected,0,0.00019531250000000001,5.6063351174217637e-05,5.4165737919978588e-05,5.4709449531605463e-05,5.4709449531605463e-05,0.022549761080037534,1.0916003000000001,0.0696967,1.01824,0.0102386,0.0143407,0.0143406,0,11.5282862,
12,10,accepted,0,9.7656250000000005e-05,3.5958168405146033e-05,3.4677503881769107e-05,3.4814521128396332e-05,3.4814521128396332e-05,0.022549761080037534,0,0,0,0.010676400000000001,0.049087400000000003,0.0258871,0.0232003,11.588050000000001,
