iteration,accepted_updates,status,linearization_refreshed,mean_objective_gradient_norm,lambda,objective_loss,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,checkpoint,best_checkpoint
0,0,initial,0,,0.001,26.9847,26.9847,27.1499,27.1499,0,0,0,0,0,0,0,checkpoint_000000.bin,best_validation_checkpoint_0.bin
1,1,accepted,1,84.5715,0.0005,0.58696,0.58696,0.59542,0.59542,0.482618,0.0407091,0.439165,0.0122484,0.0354485,0.0126338,0.0228147,,best_validation_checkpoint_1.bin
2,2,accepted,1,3.74693,0.00025,0.129313,0.129313,0.128089,0.128089,0.423985,0.0403836,0.381713,0.0105576,0.0380533,0.0127443,0.025309,,best_validation_checkpoint_0.bin
3,3,accepted,1,1.41076,0.000125,0.0447263,0.0447263,0.0447319,0.0447319,0.450037,0.0394128,0.408852,0.0117031,0.0380935,0.0130797,0.0250137,checkpoint_3.bin,best_validation_checkpoint_1.bin
4,3,rejected,1,0.483172,0.00125,0.0447263,0.0447263,0.0447319,0.0447319,0.459584,0.0410563,0.416735,0.0105497,0.0125499,0.0125497,0,,
5,4,accepted,0,0.483172,0.000625,0.0148976,0.0148976,0.0145846,0.0145846,0,0,0,0.0107302,0.0379679,0.012702,0.0252657,,best_validation_checkpoint_0.bin
6,5,accepted,1,0.36382,0.0003125,0.00527199,0.00527199,0.00524478,0.00524478,0.444213,0.0400005,0.402509,0.0108611,0.0378881,0.0126336,0.0252544,checkpoint_6.bin,best_validation_checkpoint_1.bin
7,6,accepted,1,0.190373,0.00015625,0.00170484,0.00170484,0.0017306,0.0017306,0.437727,0.0406948,0.395288,0.0108377,0.038153,0.0130719,0.025081,,best_validation_checkpoint_0.bin
8,7,accepted,1,0.122522,7.8125e-05,0.000660734,0.000660734,0.000671008,0.000671008,0.421763,0.0390834,0.380912,0.0113163,0.0371565,0.0124173,0.0247392,checkpoint_8.bin,best_validation_checkpoint_1.bin
9,7,rejected,1,0.0634714,0.00078125,0.000660734,0.000660734,0.000671008,0.000671008,0.463561,0.0401341,0.421683,0.0113333,0.0124675,0.0124672,0,,
