DT,converged,NLNSTEPS,LINSTEPS,LNSOLVE TIME (S),NFEVAL,LINEAR_TOL_MISSES,BUDGET_CONTINUATIONS,LINEAR_BREAKDOWNS,LAST_LINTOL,LAST_LINEAR_RELRES
10000,1,27,77,0.1445224,28,0,0,0,9.9999999999999995e-07,5.3248841036099981e-07
20000,1,27,101,0.1803882,28,4,4,0,9.9999999999999995e-07,1.1359294747750989e-06
40000,1,45,191,0.3357671000000001,46,13,13,0,9.9999999999999995e-07,6.9165176154333459e-07
30000,1,56,289,0.48897249999999998,57,30,30,0,5.9968311580008433e-06,1.4293172952676442e-06
80000,1,131,819,1.3730703000000004,132,107,107,0,1.1707460638607945e-06,0.00024082508920005119
20000,1,50,274,0.46782829999999997,51,23,23,0,9.9999999999999995e-07,0.00030398249155943807
100000,1,292,1845,3.1109628999999965,293,247,247,0,9.9999999999999995e-07,0.0016245178289113324
100000,1,150,852,1.4776114,151,100,100,0,9.9999999999999995e-07,8.0100935487247791e-07
100000,1,252,1435,2.4944889999999993,253,179,179,0,9.9999999999999995e-07,1.0602443083304185e-06
100000,1,177,859,1.5297259000000005,178,96,96,0,9.9999999999999995e-07,0.064785533879468352
100000,1,10,49,0.083422400000000008,11,2,2,0,1.9688959270750462e-05,0.0039077586959683046
100000,1,10,62,0.1052092,11,5,5,0,0.0028251889336518964,0.2636460957733836
100000,1,7,43,0.075728199999999996,8,2,2,0,9.9999999999999995e-07,0.0034700282205685352
100000,1,6,38,0.06322019999999999,7,3,3,0,3.8447398797829618e-05,0.010028211665517407
