case,label,cris_seconds,srdm_seconds,time_factor,work_factor,jacobian_factor,krylov_factor,residual_factor,cris_newton,srdm_newton,cris_krylov,srdm_krylov,cris_residual,srdm_residual,cris_accepted,srdm_accepted,cris_failed,srdm_failed,cris_linear_seconds,srdm_linear_seconds,final_rmse,reference_residual_inf,cris_provenance,srdm_provenance
1D,1D,3.7302012000000104,24.03546740001184,6.443477472478367,7.176853055916775,2.007843137254902,2.007843137254902,17.355212355212355,765.0,1536.0,765.0,1536.0,777.0,13485.0,12,12,0,0,0.10440120000000001,0.21070379999999994,0.0011567055623836304,4.9404924595819466e-14,corrected,corrected
2DSPE10_Layer50,Layer 50,3.680693100002827,109.83172839999315,29.839958240449004,29.065888240200167,7.046875,11.634207240948815,117.36893203883496,192.0,1353.0,801.0,9319.0,206.0,24178.0,14,16,0,1,0.24543450000000003,2.763845800000003,9.203604680772108e-05,7.781644608334049e-12,corrected,corrected
2DSPE10_Layer75,Layer 75,4.313929500000086,9.686787800019374,2.245467340163807,4.1736385161799525,1.4734848484848484,3.2780082987551866,9.032142857142857,264.0,389.0,723.0,2370.0,280.0,2529.0,16,16,0,0,0.2279888,0.6283659,4.894572580027667e-05,6.821210263296962e-12,corrected,corrected
2DSPE10_Layer84,Layer 84,5.532527799980016,117.22352420000243,21.18805877494657,14.847005742411813,4.685714285714286,5.809442548350398,67.14520547945206,315.0,1476.0,1758.0,10213.0,365.0,24508.0,50,51,0,1,0.5048967,3.0392738999999986,0.00020652760208642802,3.637978807091713e-12,corrected,corrected
Norne_5SpotBase,Norne,13.12044369999785,778.2307329000032,59.31436090839906,60.42703232125367,12.042328042328043,24.785373608903022,215.9113300492611,189.0,2276.0,629.0,15590.0,203.0,43830.0,14,16,0,2,1.1591494999999998,26.145877999999982,3.08859364693964e-05,1.3903259446501615e-10,corrected,corrected
3DSPE10_5SpotBase,SPE10,357.1829027000058,21107.042,59.09309163582106,34.61835748792271,8.385542168674698,13.556998556998558,142.28977272727272,166.0,1392.0,693.0,9395.0,176.0,25043.0,10,11,0,1,33.2974145,718.7036899999999,5.568066008033756e-05,2.0477397555396237e-11,corrected,archived_pre_correction
EDFM,EDFM,6.887107899994589,5448.684767899977,791.1426460886807,979.5458167330677,196.73846153846154,368.90712074303406,3850.4440433212994,260.0,51152.0,969.0,357471.0,277.0,1066573.0,17,67,0,49,0.5785455,197.33913680000003,2.762325240046797e-05,5.862404450773795e-10,corrected,corrected
