iteration,accepted_updates,status,linearization_refreshed,mean_objective_gradient_norm,lambda,objective_loss,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,checkpoint,best_checkpoint
1,0,rejected,1,4.51446e-06,4.98635e-10,9.73199e-11,9.52936e-11,2.2148e-10,2.2148e-10,1.74887,0.118521,1.6257,0.0146348,0.0229194,0.0229191,0,,
2,0,rejected,0,4.51446e-06,4.98635e-09,9.73199e-11,9.52936e-11,2.2148e-10,2.2148e-10,0,0,0,0.0116089,0.0233098,0.0233095,0,,
3,0,rejected,0,4.51446e-06,4.98635e-08,9.73199e-11,9.52936e-11,2.2148e-10,2.2148e-10,0,0,0,0.0123226,0.0227402,0.0227399,0,,
4,1,accepted,0,4.51446e-06,2.49318e-08,7.87429e-11,7.70201e-11,1.65056e-10,1.65056e-10,0,0,0,0.0097053,0.062794,0.0427812,0.0200127,,best_validation_checkpoint_1.bin
5,2,accepted,1,1.40207e-05,1.24659e-08,7.0967e-11,6.95392e-11,1.47142e-10,1.47142e-10,1.82427,0.117599,1.7046,0.0113477,0.0665178,0.044764,0.0217537,,best_validation_checkpoint_0.bin
6,3,accepted,1,8.23143e-06,6.23294e-09,6.81385e-11,6.67371e-11,1.3958e-10,1.3958e-10,1.7463,0.116245,1.62798,0.0113732,0.0679284,0.0458533,0.0220749,,best_validation_checkpoint_1.bin
7,4,accepted,1,8.2335e-06,3.11647e-09,6.65073e-11,6.51776e-11,1.35331e-10,1.35331e-10,1.76827,0.115216,1.65089,0.0116012,0.0673648,0.0453442,0.0220205,,best_validation_checkpoint_0.bin
8,5,accepted,1,1.31719e-05,1.55823e-09,6.59581e-11,6.48368e-11,1.33195e-10,1.33195e-10,1.86023,0.117584,1.74073,0.0114741,0.0669395,0.0451508,0.0217885,,best_validation_checkpoint_1.bin
9,5,rejected,1,2.96673e-05,1.55823e-08,6.59581e-11,6.48368e-11,1.33195e-10,1.33195e-10,1.82057,0.115016,1.70365,0.011988,0.026289,0.0262889,0,,
10,6,accepted,0,2.96673e-05,7.79117e-09,6.45692e-11,6.28347e-11,1.31005e-10,1.31005e-10,0,0,0,0.0112787,0.0673394,0.0455554,0.021784,,best_validation_checkpoint_0.bin
