case,saved_seconds,final_rmse,selected_optimization_seconds,sweep_optimization_seconds,selected_break_even,sweep_break_even
1D,20.30526620001183,0.0011567055623836304,23232.2220564,76083.65653030001,1145,3747
2DSPE10_Layer50,106.15103529999033,9.203604680772108e-05,23232.2220564,76083.65653030001,219,717
2DSPE10_Layer75,5.372858300019288,4.894572580027667e-05,23232.2220564,76083.65653030001,4324,14161
2DSPE10_Layer84,111.69099640002241,0.00020652760208642802,23232.2220564,76083.65653030001,209,682
Norne_5SpotBase,765.1102892000054,3.08859364693964e-05,23232.2220564,76083.65653030001,31,100
EDFM,5441.797659999982,2.762325240046797e-05,23232.2220564,76083.65653030001,5,14
