time,cells,rmse,mae,q99_abs_error,max_abs_error,prediction_min,prediction_max,out_of_bounds_count,volume_weighted_rmse
100000,44915,0.005039921895624352,0.002278467677888871,0.021279323022601746,0.03647252842035442,-4.963362299159613e-06,1.0000129648641027,7867,0.004396905996144817
200000,44915,0.006726426220632136,0.003733457179020083,0.026077868929299714,0.04917669146208814,-4.124253015547197e-06,1.000070077237349,6109,0.0063161324446129935
300000,44915,0.00702261197579993,0.004286606961824292,0.024392928902041363,0.04386616298962531,-4.963361502019481e-06,1.0000175569281446,4461,0.006947176323858457
400000,44915,0.007769284552022944,0.004782140411606999,0.02522322015636352,0.05389370609179678,-4.963280863634623e-06,1.000048932598392,4625,0.0078122177830108296
500000,44915,0.007970746456033987,0.004868187036346033,0.025303408879774458,0.056515207076311524,-4.963250868739166e-06,1.0000331655352546,4923,0.008110421598354062
600000,44915,0.007942082956303557,0.0047687130499745505,0.025374604835615287,0.04710683440776453,-4.963250415324083e-06,1.0000481651048567,5484,0.008274505344517322
700000,44915,0.007879311025204326,0.0046504590303350435,0.025367815657863887,0.04694774411244074,-4.963249521594548e-06,1.0000508531782963,5990,0.008307781566506061
800000,44915,0.007773294594351267,0.004414597644895787,0.025698111207734863,0.04960222233818734,-4.962475065761775e-06,1.0000720623267951,6372,0.008153681965826332
900000,44915,0.007776437646833741,0.004136738173159742,0.026624770042065458,0.07001911710148856,-4.962436409128301e-06,1.000080937273443,6997,0.008122874798034297
1000000,44915,0.007894459939191778,0.003973867421154602,0.02866531279797714,0.07364742256587276,-4.962433971966718e-06,1.0000809372734436,7500,0.008253795137516062
