iteration,accepted_updates,status,linearization_refreshed,mean_objective_gradient_norm,lambda,objective_loss,train_mse_normalized,validation_mse_normalized,best_validation_mse_normalized,normal_seconds,jacobian_seconds,normal_matrix_seconds,solve_seconds,candidate_seconds,candidate_train_seconds,candidate_validation_seconds,checkpoint,best_checkpoint
30,22,rejected,1,5.7498e-06,1.40861e-08,3.93855e-10,3.93855e-10,5.6198e-10,5.61707e-10,0.986769,0.0617781,0.923042,0.0110685,0.0233762,0.023376,0,,
31,23,accepted,0,5.7498e-06,7.04305e-09,3.93298e-10,3.93298e-10,5.61458e-10,5.61458e-10,0,0,0,0.0141548,0.0551292,0.0296145,0.0255146,,best_validation_checkpoint_0.bin
32,24,accepted,1,2.21372e-07,3.52153e-09,3.92884e-10,3.92884e-10,5.61421e-10,5.61421e-10,0.964609,0.0592445,0.903523,0.0119979,0.0481493,0.0225175,0.0256318,,best_validation_checkpoint_1.bin
33,25,accepted,1,8.32073e-07,1.76076e-09,3.92191e-10,3.92191e-10,5.61452e-10,5.61421e-10,1.01037,0.062241,0.946329,0.0127477,0.051911,0.0230492,0.0288617,,
34,26,accepted,1,3.0158e-06,8.80381e-10,3.91677e-10,3.91677e-10,5.6214e-10,5.61421e-10,1.02724,0.0624905,0.962123,0.0132714,0.0504588,0.0275181,0.0229406,,
35,26,rejected,1,9.96222e-06,8.80381e-09,3.91677e-10,3.91677e-10,5.6214e-10,5.61421e-10,1.07613,0.0648271,1.0094,0.0126831,0.0244325,0.0244322,0,,
36,27,accepted,0,9.96222e-06,4.40191e-09,3.90483e-10,3.90483e-10,5.61091e-10,5.61091e-10,0,0,0,0.0128497,0.0456688,0.0229446,0.0227241,,best_validation_checkpoint_0.bin
37,28,accepted,1,3.61953e-07,2.20095e-09,3.90008e-10,3.90008e-10,5.61042e-10,5.61042e-10,0.991504,0.058981,0.930798,0.0119019,0.0487126,0.0250274,0.0236852,,best_validation_checkpoint_1.bin
38,29,accepted,1,1.38338e-06,1.10048e-09,3.89307e-10,3.89307e-10,5.61121e-10,5.61042e-10,0.987998,0.0575218,0.928658,0.0116711,0.0454438,0.0229518,0.0224918,,
39,29,rejected,1,4.93656e-06,1.10048e-08,3.89307e-10,3.89307e-10,5.61121e-10,5.61042e-10,0.988743,0.0565531,0.93042,0.0113225,0.025355,0.0253548,0,,
40,30,accepted,0,4.93656e-06,5.50238e-09,3.88914e-10,3.88914e-10,5.60893e-10,5.60893e-10,0,0,0,0.0108436,0.0457135,0.0232707,0.0224426,,best_validation_checkpoint_0.bin
41,31,accepted,1,1.81277e-07,2.75119e-09,3.8858e-10,3.8858e-10,5.60856e-10,5.60856e-10,0.988997,0.0610282,0.926111,0.0128208,0.0462993,0.0239386,0.0223606,,best_validation_checkpoint_1.bin
42,32,accepted,1,7.10152e-07,1.3756e-09,3.88e-10,3.88e-10,5.60837e-10,5.60837e-10,0.977337,0.058229,0.917326,0.0131077,0.0512503,0.027117,0.0241333,,best_validation_checkpoint_0.bin
43,33,accepted,1,2.63655e-06,6.87798e-10,3.87465e-10,3.87465e-10,5.61205e-10,5.60837e-10,0.993272,0.0591534,0.932257,0.0121046,0.0469293,0.0243275,0.0226016,,
44,33,rejected,1,8.89889e-06,6.87798e-09,3.87465e-10,3.87465e-10,5.61205e-10,5.60837e-10,0.992794,0.0569784,0.93389,0.0119591,0.0225878,0.0225877,0,,
45,34,accepted,0,8.89889e-06,3.43899e-09,3.86575e-10,3.86575e-10,5.60702e-10,5.60702e-10,0,0,0,0.0118568,0.0546152,0.0300178,0.0245972,,best_validation_checkpoint_1.bin
46,35,accepted,1,3.04935e-07,1.7195e-09,3.86163e-10,3.86163e-10,5.6067e-10,5.6067e-10,0.99898,0.0577867,0.939398,0.0128905,0.0496606,0.0257887,0.0238717,,best_validation_checkpoint_0.bin
47,36,accepted,1,1.23313e-06,8.59748e-10,3.85542e-10,3.85542e-10,5.6071e-10,5.6067e-10,0.994595,0.0588539,0.933898,0.0117954,0.0465329,0.0236215,0.0229114,,
48,36,rejected,1,4.50391e-06,8.59748e-09,3.85542e-10,3.85542e-10,5.6071e-10,5.6067e-10,0.998302,0.0576883,0.938769,0.0120092,0.027319,0.0273187,0,,
49,37,accepted,0,4.50391e-06,4.29874e-09,3.85203e-10,3.85203e-10,5.60668e-10,5.60668e-10,0,0,0,0.0129043,0.0455326,0.0232152,0.0223174,,best_validation_checkpoint_1.bin
50,38,accepted,1,1.5713e-07,2.14937e-09,3.84906e-10,3.84906e-10,5.60656e-10,5.60656e-10,0.946028,0.0578616,0.886353,0.0123956,0.0455045,0.022896,0.0226084,,best_validation_checkpoint_0.bin
51,39,accepted,1,6.48755e-07,1.07468e-09,3.84388e-10,3.84388e-10,5.60652e-10,5.60652e-10,1.00091,0.0568434,0.942271,0.0113465,0.0460861,0.0228148,0.0232712,,best_validation_checkpoint_1.bin
52,40,accepted,1,2.46314e-06,5.37342e-10,3.84064e-10,3.84064e-10,5.61097e-10,5.60652e-10,0.950871,0.0588859,0.889757,0.0119396,0.0453453,0.0224792,0.022866,,
53,40,rejected,1,8.50094e-06,5.37342e-09,3.84064e-10,3.84064e-10,5.61097e-10,5.60652e-10,0.94828,0.0563042,0.890251,0.0115582,0.0223624,0.0223621,0,,
54,41,accepted,0,8.50094e-06,2.68671e-09,3.8307e-10,3.8307e-10,5.60738e-10,5.60652e-10,0,0,0,0.0113181,0.0451739,0.022539,0.0226349,,
55,42,accepted,1,2.76093e-07,1.34336e-09,3.8269e-10,3.8269e-10,5.60738e-10,5.60652e-10,0.983626,0.056125,0.925822,0.0119573,0.0496862,0.0255997,0.0240865,,
56,43,accepted,1,1.20273e-06,6.71678e-10,3.8219e-10,3.8219e-10,5.60852e-10,5.60652e-10,0.9686,0.0580028,0.908824,0.0108838,0.0473744,0.022336,0.0250384,,
57,43,rejected,1,4.52284e-06,6.71678e-09,3.8219e-10,3.8219e-10,5.60852e-10,5.60652e-10,0.970062,0.0574787,0.910805,0.0115757,0.0236248,0.0236246,0,,
58,44,accepted,0,4.52284e-06,3.35839e-09,3.81775e-10,3.81775e-10,5.60875e-10,5.60652e-10,0,0,0,0.0115156,0.0549856,0.0258427,0.0291428,,
59,45,accepted,1,1.51986e-07,1.67919e-09,3.81493e-10,3.81493e-10,5.60888e-10,5.60652e-10,0.956954,0.0571975,0.897946,0.011226,0.0452937,0.0226926,0.0226011,,
60,46,accepted,1,6.64151e-07,8.39597e-10,3.81031e-10,3.81031e-10,5.60925e-10,5.60652e-10,0.992617,0.0586984,0.932003,0.0110394,0.0455231,0.0229873,0.0225356,,
61,46,rejected,1,2.58245e-06,8.39597e-09,3.81031e-10,3.81031e-10,5.60925e-10,5.60652e-10,0.981761,0.0562541,0.92357,0.0129554,0.0228881,0.0228878,0,,
62,47,accepted,0,2.58245e-06,4.19799e-09,3.80824e-10,3.80824e-10,5.61018e-10,5.60652e-10,0,0,0,0.0116795,0.0449934,0.0227532,0.02224,,
63,48,accepted,1,8.92151e-08,2.09899e-09,3.80611e-10,3.80611e-10,5.61036e-10,5.60652e-10,0.977973,0.0570817,0.919124,0.0121947,0.0469644,0.0244303,0.0225341,,
64,49,accepted,1,3.86298e-07,1.0495e-09,3.80228e-10,3.80228e-10,5.61058e-10,5.60652e-10,0.927355,0.0573988,0.867819,0.0123381,0.0471175,0.0236945,0.0234228,,
65,50,accepted,1,1.52861e-06,5.24748e-10,3.79925e-10,3.79925e-10,5.61344e-10,5.60652e-10,0.915081,0.0567664,0.856481,0.011769,0.0464238,0.0238124,0.0226112,,
66,50,rejected,1,5.63695e-06,5.24748e-09,3.79925e-10,3.79925e-10,5.61344e-10,5.60652e-10,1.01101,0.0572907,0.95191,0.0115062,0.0225573,0.022557,0,,
67,51,accepted,0,5.63695e-06,2.62374e-09,3.79244e-10,3.79244e-10,5.61272e-10,5.60652e-10,0,0,0,0.0105889,0.046954,0.0225149,0.024439,,
68,52,accepted,1,1.88569e-07,1.31187e-09,3.78951e-10,3.78951e-10,5.61293e-10,5.60652e-10,0.993113,0.0558112,0.935617,0.012208,0.0465803,0.0237152,0.0228649,,
69,53,accepted,1,8.35794e-07,6.55935e-10,3.7854e-10,3.7854e-10,5.61375e-10,5.60652e-10,0.941755,0.0571132,0.882924,0.0115657,0.0475026,0.0235014,0.0240011,,
70,53,rejected,1,3.25269e-06,6.55935e-09,3.7854e-10,3.7854e-10,5.61375e-10,5.60652e-10,0.976916,0.0567355,0.918365,0.0110996,0.0224127,0.0224125,0,,
71,54,accepted,0,3.25269e-06,3.27968e-09,3.78234e-10,3.78234e-10,5.61473e-10,5.60652e-10,0,0,0,0.0112656,0.0455311,0.0224822,0.0230488,,
72,55,accepted,1,1.12545e-07,1.63984e-09,3.78009e-10,3.78009e-10,5.61495e-10,5.60652e-10,1.00019,0.0580476,0.94039,0.0126117,0.0457591,0.0229917,0.0227672,,
73,56,accepted,1,4.90837e-07,8.19919e-10,3.77629e-10,3.77629e-10,5.61523e-10,5.60652e-10,0.972484,0.0559571,0.914671,0.0123138,0.0455818,0.0231323,0.0224495,,
74,56,rejected,1,1.94013e-06,8.19919e-09,3.77629e-10,3.77629e-10,5.61523e-10,5.60652e-10,0.913704,0.056783,0.855079,0.0111871,0.0235422,0.0235421,0,,
75,57,accepted,0,1.94013e-06,4.0996e-09,3.7747e-10,3.7747e-10,5.61635e-10,5.60652e-10,0,0,0,0.0118244,0.0455959,0.0232793,0.0223165,,
76,58,accepted,1,6.87439e-08,2.0498e-09,3.77296e-10,3.77296e-10,5.61656e-10,5.60652e-10,0.910867,0.0565358,0.852471,0.0112921,0.0452015,0.0225877,0.0226136,,
77,59,accepted,1,2.95229e-07,1.0249e-09,3.76978e-10,3.76978e-10,5.61673e-10,5.60652e-10,0.956681,0.0566065,0.898401,0.0115224,0.0449941,0.0223948,0.0225993,,
78,60,accepted,1,1.17676e-06,5.12449e-10,3.76676e-10,3.76676e-10,5.61841e-10,5.60652e-10,0.981577,0.0559955,0.923758,0.0116735,0.0456695,0.0234118,0.0222576,,
79,60,rejected,1,4.42797e-06,5.12449e-09,3.76676e-10,3.76676e-10,5.61841e-10,5.60652e-10,0.9153,0.0577609,0.855777,0.0114423,0.0223361,0.0223358,0,,
80,61,accepted,0,4.42797e-06,2.56225e-09,3.7616e-10,3.7616e-10,5.61881e-10,5.60652e-10,0,0,0,0.0119265,0.0447867,0.0224941,0.0222925,,
81,62,accepted,1,1.53351e-07,1.28112e-09,3.75911e-10,3.75911e-10,5.61895e-10,5.60652e-10,0.91302,0.0558761,0.855371,0.0115362,0.0457604,0.0227044,0.023056,,
82,63,accepted,1,6.65816e-07,6.40562e-10,3.75541e-10,3.75541e-10,5.61925e-10,5.60652e-10,0.90034,0.0566025,0.842003,0.0109937,0.0448885,0.0223075,0.022581,,
83,63,rejected,1,2.60231e-06,6.40562e-09,3.75541e-10,3.75541e-10,5.61925e-10,5.60652e-10,0.908133,0.0566925,0.849703,0.0113279,0.0334956,0.0334955,0,,
84,64,accepted,0,2.60231e-06,3.20281e-09,3.753e-10,3.753e-10,5.62052e-10,5.60652e-10,0,0,0,0.0116433,0.0549217,0.0253158,0.0296057,,
85,65,accepted,1,9.23737e-08,1.6014e-09,3.75106e-10,3.75106e-10,5.62065e-10,5.60652e-10,0.935758,0.0583179,0.875506,0.0118387,0.0455386,0.0230042,0.0225343,,
86,66,accepted,1,3.95762e-07,8.00702e-10,3.74769e-10,3.74769e-10,5.62063e-10,5.60652e-10,0.892359,0.056794,0.833655,0.0112505,0.0449928,0.0224337,0.022559,,
87,67,accepted,1,1.56475e-06,4.00351e-10,3.74722e-10,3.74722e-10,5.62405e-10,5.60652e-10,0.932048,0.0562503,0.873933,0.0109329,0.0448851,0.0225729,0.0223121,,
88,67,rejected,1,5.81681e-06,4.00351e-09,3.74722e-10,3.74722e-10,5.62405e-10,5.60652e-10,0.949977,0.0577999,0.890362,0.0106081,0.0223837,0.0223834,0,,
89,68,accepted,0,5.81681e-06,2.00176e-09,3.73825e-10,3.73825e-10,5.62274e-10,5.60652e-10,0,0,0,0.0119686,0.045228,0.0229573,0.0222705,,
90,69,accepted,1,2.02655e-07,1.00088e-09,3.73551e-10,3.73551e-10,5.62266e-10,5.60652e-10,0.955494,0.0562342,0.897553,0.0117151,0.0447856,0.0223482,0.0224372,,
91,70,accepted,1,8.74328e-07,5.00439e-10,3.73238e-10,3.73238e-10,5.62305e-10,5.60652e-10,0.947025,0.0564364,0.888934,0.0108606,0.0445923,0.0226118,0.0219804,,
92,70,rejected,1,3.38297e-06,5.00439e-09,3.73238e-10,3.73238e-10,5.62305e-10,5.60652e-10,0.912383,0.0568327,0.85372,0.0118457,0.0225116,0.0225115,0,,
93,71,accepted,0,3.38297e-06,2.50219e-09,3.72853e-10,3.72853e-10,5.6242e-10,5.60652e-10,0,0,0,0.0114814,0.0450582,0.0226716,0.0223865,,
94,72,accepted,1,1.20677e-07,1.2511e-09,3.72636e-10,3.72636e-10,5.62413e-10,5.60652e-10,0.894208,0.0570102,0.835538,0.0112436,0.0451428,0.022361,0.0227816,,
95,73,accepted,1,5.14221e-07,6.25549e-10,3.72294e-10,3.72294e-10,5.62377e-10,5.60652e-10,0.89372,0.0570171,0.834871,0.0119807,0.0467567,0.0226612,0.0240953,,
96,73,rejected,1,2.0177e-06,6.25549e-09,3.72294e-10,3.72294e-10,5.62377e-10,5.60652e-10,0.882337,0.0578526,0.822824,0.0115992,0.0223736,0.0223734,0,,
97,74,accepted,0,2.0177e-06,3.12774e-09,3.72105e-10,3.72105e-10,5.62518e-10,5.60652e-10,0,0,0,0.0115029,0.044846,0.0224941,0.0223518,,
